,Metro name,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
31,Phoenix,3278.661,3388.445,3496.957,3600.163,3723.359,3884.588,4046.571,4175.595,4287.323,4364.094,4204.738,4253.825,4331.053,4404.675,4491.423,4581.122,4675.966,4761.694,4857.962
32,Pittsburgh,2429.023,2418.223,2408.973,2400.193,2387.819,2372.328,2361.482,2357.141,2355.391,2354.957,2357.086,2360.16,2360.331,2359.764,2356.201,2347.907,2340.576,2330.283,2324.743
33,Portland,1936.108,1975.589,2010.666,2034,2052.776,2084.053,2123.96,2163.577,2203.745,2241.841,2232.205,2262.637,2288.535,2311.294,2344.562,2382.37,2427.459,2456.462,2478.81
34,Providence,1586.744,1596.35,1608.751,1617.323,1616.874,1609.677,1603.83,1599.496,1599.312,1600.642,1603.115,1602.828,1605.752,1607.576,1611.223,1613.051,1614.911,1617.057,1621.337
35,Raleigh,804.436,835.602,863.488,889.313,916.79,953.157,998.979,1045.871,1090.408,1125.827,1137.381,1162.096,1187.686,1213.328,1241.236,1271.196,1303.845,1334.342,1362.54
36,Richmond,1100.196,1111.363,1125.329,1139.312,1155.33,1174.017,1195.634,1212.476,1227.115,1238.187,1209.896,1218.638,1232.938,1244.814,1257.769,1269.483,1281.314,1292.911,1306.172
37,Riverside,3277.578,3376.256,3483.348,3611.625,3745.32,3861.335,3968.504,4048.913,4092.831,4143.113,4242.562,4295.341,4336.162,4371.914,4418.731,4465.232,4516.744,4570.427,4622.361
38,Rochester,1041.595,1041.069,1041.12,1039.674,1038.019,1033.47,1031.458,1031.485,1033.155,1035.566,1079.966,1081.465,1081.491,1081.766,1080.149,1076.8,1073.713,1071.589,1071.082
39,Sacramento,1808.442,1865.891,1921.903,1967.052,2004.144,2028.664,2050.618,2075.119,2101.138,2127.355,2153.656,2172.928,2190.556,2211.06,2236.623,2264.065,2292.41,2320.381,2345.21
40,Salt Lake City,972.653,988.989,1001.874,1016.377,1030.597,1044.845,1072.748,1092.594,1111.6,1130.293,1091.48,1106.739,1123.809,1140.176,1151.703,1165.246,1185.219,1205.238,1222.54
41,San Antonio,1719.262,1743.796,1777.397,1808.267,1843.927,1878.12,1932.72,1984.766,2030.691,2072.128,2153.038,2193.881,2237.358,2280.585,2329.756,2380.63,2428.326,2474.274,2518.036
42,San Diego,2824.987,2867.094,2901.235,2926.814,2935.672,2941.77,2947.222,2975.656,3019.274,3053.793,3103.306,3137.372,3175.201,3211.248,3250.993,3284.061,3310.28,3325.468,3343.364
43,San Francisco,4136.658,4179.628,4165.678,4153.143,4143.522,4149.607,4162.783,4202.186,4260.236,4317.853,4343.782,4395.894,4456.395,4521.312,4587.253,4649.539,4689.132,4710.693,4729.484
44,San Jose,1739.669,1745.147,1728.245,1723.138,1724.074,1737.313,1754.557,1778.432,1810.646,1839.7,1841.596,1868.148,1894.984,1924.569,1950.851,1975.724,1988.816,1993.582,1999.107
45,Seattle,3052.379,3094.38,3121.895,3138.938,3163.703,3202.388,3259.945,3307.36,3356.637,3407.848,3449.275,3499.104,3554.484,3610.838,3672.067,3738.316,3814.369,3884.469,3939.363
46,St. Louis,2535.725,2529.8,2522.2,2509.8,2499.4,2500.1,2499.5,2493,2497.4,2501.9,2503.549,2505.549,2499.642,2503.087,2515.579,2532.675,2548.067,2563.067,2572.306
47,Tampa,2404.273,2442.189,2483.575,2522.78,2578.104,2638.814,2684.639,2711.222,2730.007,2747.272,2788.367,2828.748,2845.719,2870.355,2912.875,2969.251,3034.215,3091.225,3142.663
48,Virginia Beach,1580.387,1589.404,1610,1631.596,1651.753,1659.317,1672.386,1671.637,1670.225,1674.498,1679.795,1685.911,1697.056,1704.386,1714.136,1719.838,1722.419,1724.876,1728.733
49,Washington,4821.031,4927.274,5014.571,5086.376,5158.524,5229.267,5265.012,5313.033,5377.936,5476.241,5665.061,5768.757,5865.97,5950.951,6020.449,6082.465,6139.035,6200.001,6249.95
