,Metro name,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
20,Los Angeles,113.6666667,116.1666667,127,139,153.3333333,170.75,196.5,237.4166667,304.25,362.3333333,398.5,378.5833333,318.6666667,274.5,269.25,255.3333333,254.8333333,296.0833333,325,345.9166667,368.6666667,395,420.3333333,427.7777778
21,Louisville,66.33333333,65.83333333,67.75,72.16666667,76.41666667,80.33333333,82.66666667,87.66666667,89.25,91.5,92.91666667,94.25,93.41666667,92.25,93.08333333,90.58333333,89.25,90.83333333,92.75,95.33333333,100.9166667,108.1666667,114.8333333,120.5555556
22,Memphis,48,48.91666667,50.41666667,52.75,55.41666667,57,58.08333333,59.16666667,61.25,65.5,69.33333333,72.66666667,70.08333333,65.5,64.25,62,61,60.41666667,62.08333333,64.58333333,68.16666667,73,78.41666667,83.22222222
23,Miami,66.77777778,68.08333333,70,71.91666667,76.83333333,87.83333333,100.5833333,115.1666667,137.9166667,178.0833333,208.9166667,201.9166667,160.4166667,114.0833333,100,94.66666667,96.16666667,107.4166667,124.5833333,138.25,153.0833333,169,182.25,190.1111111
24,Milwaukee,73.66666667,75.83333333,78.33333333,82.5,87.58333333,93.16666667,100.3333333,108.6666667,118.4166667,127.75,132.5833333,131.5,126.5,119.9166667,116.1666667,107.8333333,103.5,106.3333333,108.3333333,111.9166667,117.6666667,125.8333333,133.6666667,139.7777778
25,Minneapolis,80.66666667,84.08333333,89.83333333,100.4166667,114.3333333,130.1666667,144.5,158.1666667,171.0833333,183.5833333,188.1666667,182.6666667,165.75,149.25,142.6666667,129.8333333,129.9166667,142.5,153.3333333,160,169.9166667,182.25,194.9166667,204.2222222
26,Nashville,59.66666667,62.5,65.75,68.5,71.91666667,74.75,76.25,78.25,81.75,88.16666667,94.91666667,99.25,98.16666667,94.08333333,91.91666667,87.41666667,87.41666667,91.5,97.75,105.75,118,131.5,144.1666667,152.3333333
27,New York,104.3333333,106.5833333,111.0833333,120.25,135.1666667,152.25,171.5,197.5,223.9166667,256.9166667,277.1666667,273.0833333,256.75,233.0833333,224.8333333,212.3333333,205.1666667,209.1666667,216.9166667,223.1666667,229,241.75,255.5,262.1111111
28,Oklahoma City,45.22222222,44.08333333,44.91666667,47,49.66666667,51.16666667,53.83333333,56.83333333,60.58333333,63.16666667,67.25,69.83333333,71.83333333,73.75,75.16666667,72.66666667,72.66666667,74.08333333,75.58333333,78.66666667,83.25,88.16666667,90.83333333,94.33333333
29,Orlando,56.44444444,58,60.33333333,63.33333333,68.25,74,79.16666667,86.58333333,97.83333333,126.0833333,156.4166667,151.5833333,124,93.66666667,80.75,71.5,72.75,81.33333333,92.08333333,99,108.5833333,121.5,132.8333333,141.3333333
30,Philadelphia,67.77777778,68.83333333,69.41666667,71.58333333,75.33333333,80.33333333,88.91666667,100.4166667,115.8333333,133.6666667,146.25,147.8333333,140.8333333,133,130,121.3333333,117.25,118.4166667,119.9166667,122.3333333,126.0833333,132.25,139.6666667,143.3333333
31,Phoenix,61.66666667,65,68.91666667,73.66666667,77.75,82.5,86.83333333,91.5,101.75,140.1666667,165.6666667,154.6666667,126.25,97.83333333,86,76.75,85.08333333,102.8333333,112.75,119.75,128.4166667,137.8333333,149.9166667,158.7777778
32,Pittsburgh,47.22222222,48.33333333,51.66666667,55.41666667,57,62,66.16666667,70.58333333,73.91666667,77.58333333,79.5,80.08333333,79.5,78.83333333,79.83333333,78,78.08333333,80.16666667,83.08333333,86.58333333,91.33333333,96.58333333,103.75,107.6666667
