,Metro name,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
26,Nashville,4.3,5.6,5.3,4.3,3.4,3.6,3.6,3.7,3,2.8,3.1,3.7,4.3,4.7,4.5,4.6,4.3,4.1,5.8,9.5,8.6,7.8,6.4,6.2,5.2,4.5,3.7,2.9,2.7
27,New York,5.4,7.2,9,8.4,7.2,6.6,6.6,6.5,5.5,5,4.4,4.8,6.4,6.5,5.6,4.9,4.5,4.4,5.3,8.6,8.9,8.6,8.7,7.9,6.5,5.3,4.8,4.5,4
28,Oklahoma City,5.3,5.3,5.2,4.8,4.4,3.6,3.4,3.3,3.5,2.7,2.7,3.6,4.3,5,4.5,4.3,4,4.2,3.8,5.9,5.9,5,4.5,4.6,4,3.9,4.2,3.8,3.1
29,Orlando,5.7,7,7.7,6.3,5.6,4.5,3.9,3.5,3.1,2.8,3.1,4.4,5.8,5.3,4.6,3.6,3.2,3.9,6.1,10.5,11.1,10,8.4,7,6,5.2,4.5,3.9,3.3
30,Philadelphia,5,7.1,7.7,6.9,6,5.7,5.4,4.8,4.3,4.1,3.9,4.3,5.4,5.4,5.1,4.7,4.5,4.3,5.3,8.3,8.8,8.5,8.4,7.8,6.2,5.4,5.1,4.7,4.2
31,Phoenix,4.4,5.2,6.5,5.1,4.6,3.7,3.8,3,2.8,3.1,3.3,4.3,5.7,5.3,4.5,4.1,3.7,3.3,5.5,9.3,9.6,8.6,7.4,6.7,5.9,5.2,4.7,4.3,4.2
32,Pittsburgh,5.2,6.3,7.1,7,6.6,6,5.2,4.9,4.6,4.4,4.3,4.8,5.7,5.8,5.7,5.2,4.7,4.4,5.1,7.3,8,7.4,7.2,6.8,5.7,5.3,5.6,5,4.3
33,Portland,4.4,5.4,6.6,5.8,4.4,3.8,4.4,4.2,4.3,4.4,4.5,6.1,7.8,8.3,7.1,5.9,5.1,5,6.1,10.9,10.2,9,8,7.1,6.1,5.2,4.6,3.9,3.9
34,Providence,6.2,6.2,6.2,6.3,6.5,6.8,7.1,7.3,7.6,7.8,8.1,8.4,8.7,9,9.2,9.4,9.5,9.6,9.6,9.7,9.7,9.7,9.7,9.8,9.7,9.7,9.7,9.7,9.6
35,Raleigh,2.9,3.7,3.9,3.3,2.7,2.5,2.2,1.9,1.7,1.5,2.5,4,5.7,5.3,4.4,4.2,3.7,3.6,4.8,8.6,8.6,8.2,7.4,6.3,5.1,4.8,4.4,3.9,3.4
36,Richmond,4,5.7,6.6,5.2,4.5,3.8,3.9,3.5,2.7,2.4,2.1,3.2,4.1,4.2,4,3.8,3.3,3.1,4.2,7.5,8,7.3,6.6,6.1,5.5,4.6,4.2,3.9,3.2
37,Riverside,6.3,9.1,10.6,10.9,9.5,8.6,7.8,7,6.1,5.2,5.1,5.3,6.2,6.3,5.9,5.3,4.9,5.8,8.3,12.9,13.7,13,11.5,9.8,8.1,6.6,6,5.1,4.2
38,Rochester,3.8,5,5.5,5,5.2,4.4,3.9,3.9,3.9,4.1,3.7,4.2,5.4,5.5,5.3,4.6,4.4,4.5,5.5,7.9,8.1,7.7,7.9,7,5.8,5.1,4.7,4.9,4.2
39,Sacramento,4.8,6.7,8.3,8.3,7.1,6.7,6.1,5.5,4.9,4.1,4.3,4.5,5.5,5.7,5.5,4.9,4.7,5.3,7.1,10.9,12.4,11.8,10.3,8.7,7.1,5.9,5.3,4.5,3.7
40,Salt Lake City,3.9,4.3,4.5,3.6,3.4,3.1,2.9,2.9,3.3,3.3,3.2,4.4,6,5.8,5,4,2.9,2.5,3.4,7.1,7.7,6.6,5.3,4.4,3.7,3.4,3.2,3.1,3
41,San Antonio,6.9,6.5,6.2,5.4,4.6,4.4,4.3,4,3.7,3.2,3.9,4.5,5.7,6.1,5.6,5,4.6,4,4.6,6.7,7.2,7.1,6.3,5.8,4.6,3.8,3.8,3.5,3.3
42,San Diego,4.6,6.2,7.2,7.8,7.1,6.3,5.3,4.3,3.5,3.1,3.9,4.2,5.1,5.2,4.7,4.3,4,4.6,6,9.4,10.8,10.3,9.1,7.8,6.4,5.2,4.7,4,3.3
43,San Francisco,3.6,5,6.2,6.3,5.8,5.4,4.6,3.9,3.5,2.9,3.4,4.4,6.2,6.3,5.5,4.8,4.2,4.4,5.7,9.4,9.9,9.1,7.8,6.5,5.2,4.3,3.8,3.3,2.7
44,San Jose,4.2,5.9,7.1,7.1,6.5,5.1,3.9,3.3,3.4,3.2,3.2,5.1,8.3,8.3,6.5,5.4,4.6,4.8,6.1,10.7,10.5,9.5,8,6.6,5.3,4.2,3.9,3.3,2.7
45,Seattle,4,5,6.2,6.3,5.4,5.2,4.8,3.8,3.5,3.7,4.2,5.3,6.7,6.7,5.6,4.8,4.2,3.7,4.5,8.7,9.7,8.7,7.2,5.9,5.2,4.8,4.4,4.1,3.9
46,St. Louis,5.9,6.8,6.4,6,4.8,4.6,4.6,4.1,4.2,3.5,3.7,4.6,5.4,5.8,6,5.5,5,5.3,6.5,9.8,9.6,8.5,7.3,7.1,6.2,5,4.6,3.8,3.4
47,Tampa,5,6.6,7.3,6.6,5.3,4.4,4,3.6,3.2,2.9,3.4,4.5,5.8,5.4,4.7,4,3.5,4.4,6.8,11,11.1,9.9,8.2,6.9,6,5.2,4.6,4,3.5
48,Virginia Beach,4.6,5.5,6.1,5.5,5.7,4.9,4.9,4.6,3.4,3.3,2.5,3.3,4.1,4.2,4.1,4,3.4,3.2,4.2,6.9,7.6,7.3,6.8,6.3,5.7,4.9,4.7,4.1,3.3
49,Washington,3.2,4.6,5.2,4.7,4.1,4.2,3.9,3.6,3.1,2.6,2.7,3.4,4,3.8,3.7,3.5,3.1,3,3.7,6,6.3,6.1,5.8,5.6,5.1,4.4,3.9,3.7,3.3
