,Listings Price Cut Perc Change,New Monthly Listings,Days on Market Perc Change,Buyer Seller Index Cross Geo,Days on Zillow,House Price Index,New Monthly Listings Perc Change,Median Sale Price Perc Change,Inventory Perc Change,Median Sale Price,Unemployment Rate,Real Per Capita Personal Income,Homes Sold,Listings Price Cut,SPY,Homes Sold Perc Change,Buyer Seller Index Cross Time,Median Value Per Square Feet,Employees Total Nonfarm,Resident Population,Days on Market,Inventory,Building Units,Sale to List Ratio,change next year,change 2 years,change 3 years,Metro name
2010,,,,5.11,113.5,109.6183841,,0.043,,209125.0,8.7,44114.0,3204.416666666666,16.54939035,0.14306958547498816,-0.272,0.465,144.08333330000002,1193.9,2554.8160000000003,,,5042.0,0.9399525790000001,0.938793867,0.966663376,0.982099108,Denver
2010,,,,6.375,116.16666670000001,64.81939469,,,,,13.9,40463.0,6505.166666666668,13.667891292499998,0.14306958547498816,-0.122,1.685,63.41666667,1735.9,4291.593,,,3210.0,0.889640726,0.9055569459999999,0.935302154,0.9558933609999999,Detroit
2010,,,,7.885,100.375,88.92415411,,-0.046,,124591.66666666669,13.8,36905.0,3784.083333333334,13.7243290725,0.14306958547498816,-0.151,1.495,80.58333333,803.7,1952.644,,,5474.0,0.958140585,0.9423710670000001,0.9800387079999999,0.993110171,Las Vegas
2010,,,,5.93,111.41666670000001,117.49048710000001,,,,,9.9,43673.0,,13.0870186675,0.14306958547498816,,2.105,93.08333333,580.4,1054.048,,,2525.0,0.9331543090000001,0.924793312,0.936472251,0.946866788,Louisville
2010,,,,3.85,109.29166670000001,109.74707590000001,,,,,8.7,46428.0,2154.1666666666665,15.44401812,0.14306958547498816,-0.22899999999999998,1.635,98.91666667,966.2,2013.3729999999998,,,2714.0,0.993541562,0.9752134640000001,0.9843056379999999,0.9941683170000001,Kansas City
2010,,,,7.61,102.25,102.55395209999999,,-0.084,,99075.0,9.7,42117.0,1328.9166666666667,13.166101072500002,0.14306958547498816,-0.221,4.72,64.25,592.4,997.8439999999999,,,2429.0,0.920434621,0.920046528,0.932635275,0.9444626970000001,Memphis
2010,,,,6.96,132.7916667,134.6861239,,-0.10400000000000001,,137458.33333333337,10.8,42808.0,7493.833333333332,11.2834446375,0.14306958547498816,0.03,5.7,100.0,2195.3,5583.547,,,5877.0,0.89038698,0.904721012,0.9290774940000001,0.9442948109999999,Miami
2010,,,,2.98,146.54166669999998,125.71713989999999,,-0.138,,127383.33333333331,10.7,42013.0,1331.9166666666667,17.5325277875,0.14306958547498816,-0.124,0.885,84.33333333,579.9,1348.889,,,3606.0,0.879614172,0.891512203,0.93102108,0.9542111390000001,Jacksonville
2010,,,,0.85,147.54166669999998,122.9202044,,0.03,,172833.33333333337,8.9,47995.0,1160.8333333333333,15.6310559825,0.14306958547498816,-0.345,0.14,116.16666670000001,808.5,1556.684,,,1929.0,0.9079388279999999,0.897487345,0.913476857,0.9365519290000001,Milwaukee
2010,,,,6.79,112.875,113.5791515,,-0.13699999999999998,,106466.66666666669,11.1,35219.0,2970.666666666666,13.92709149,0.14306958547498816,-0.1,2.055,80.75,992.6,2139.199,,,5254.0,0.9146071440000001,0.9240568020000001,0.945782765,0.9581118809999999,Orlando
2010,,,,1.985,129.0833333,103.7005763,,,,,9.6,46276.0,2331.833333333333,12.8735715175,0.14306958547498816,-0.22699999999999998,1.64,74.25,912.3,1892.6470000000002,,,5921.0,1.013976132,0.990169945,0.991087143,0.9646516470000001,Indianapolis
2010,,,,0.57,136.625,112.24721480000001,,,,,7.3,47325.0,3512.416666666666,18.2911540375,0.14306958547498816,-0.35,0.14,142.66666669999998,1749.8,3355.2729999999997,,,5726.0,0.915806956,0.9049938040000001,0.937321037,0.959021527,Minneapolis
2010,,,,4.64,114.41666670000001,130.5958562,,,,,8.3,46992.0,5554.916666666668,14.5680019675,0.14306958547498816,-0.145,1.405,72.08333333,2567.3,5947.409000000001,,,27452.0,1.0244509240000002,1.00552196,1.008071554,1.019330324,Houston
2010,,,,5.065,129.875,123.95866229999999,,-0.127,,115975.0,11.1,40369.0,3027.0,15.137845665,0.14306958547498816,-0.023,1.215,81.5,1105.9,2788.367,,,6501.0,0.881543555,0.890130649,0.921343283,0.94198326,Tampa
2010,,,,3.225,131.4166667,126.7289382,,0.008,,143850.0,8.6,46603.0,1924.666666666667,14.469082280000002,0.14306958547498816,-0.203,0.98,91.91666667,762.5,1675.475,,,5092.0,0.918526319,0.915808172,0.937747393,0.9588122720000001,Nashville
2010,,,,3.41,124.20833329999999,138.62116540000002,,0.039,,215108.3333333333,9.1,52735.0,831.9166666666665,15.45114623,0.14306958547498816,-0.401,3.46,148.16666669999998,549.5,1214.0639999999999,,,1279.0,0.92820871,0.919639917,0.9200690029999999,0.935747509,Hartford
2010,,,,0.275,176.33333330000002,157.074839,,,,361900.0,8.9,46918.0,9374.0,11.80576285,0.14306958547498816,,2.755,224.83333330000002,8599.2,19594.977,,,18668.0,0.90958663,0.904732485,0.9103366559999999,0.936513771,New York
2010,,,,6.165,109.75,134.2642946,,0.048,,112083.33333333331,5.9,44266.0,1054.0,13.2640378,0.14306958547498816,-0.174,1.495,75.16666667,566.9,1257.797,,,3635.0,0.953109807,0.9474290890000001,0.956463108,0.964267856,Oklahoma City
2010,,,,1.755,132.125,171.24236240000002,,-0.027999999999999997,,201575.0,7.6,42798.0,1355.25,15.717149742499998,0.14306958547498816,-0.217,0.885,130.6666667,737.1,1679.795,,,3966.0,0.92749731,0.9167703970000001,0.9360591309999999,0.955074,Virginia Beach
